10 903
-959.955 -357.299 37.938
-619.713 730.091 40.902
-45.631 -519.169 57.183
-816.947 654.768 44.975
241.737 288.761 87.389
-847.853 -835.361 46.773
376.109 87.925 80.395
1.814 -728.441 65.322
-757.890 708.243 59.771
533.609 -341.535 94.796
75.754 208.860 7.151 23.255
299.076 922.341 13.532 14.575
493.386 -958.696 -13.452 23.106
-864.454 496.126 4.016 -6.672
829.374 -783.582 2.322 3.698
-302.019 -81.799 -5.455 13.418
-903.586 -476.350 -3.889 3.007
-43.030 -132.856 -9.925 -24.182
-923.996 889.014 24.073 9.377
811.355 504.214 -1.048 7.619
545.519 419.999 5.725 17.027
-83.875 -610.380 -14.646 -6.363
-393.962 507.056 22.335 7.600
-574.743 -324.772 -3.981 -11.958
198.879 685.184 16.049 -21.104
-447.673 -755.070 -20.286 -9.292
-866.056 -848.501 -24.915 23.632
655.713 -38.502 6.251 5.031
-618.503 -520.977 -2.943 7.441
-131.358 296.475 -23.922 11.867
-196.469 936.536 -5.533 5.720
-388.236 619.456 18.761 20.266
304.640 392.403 24.162 21.424
637.333 -844.936 -12.868 19.282
-693.437 -511.290 17.914 24.057
450.207 -33.385 4.088 20.793
445.638 -954.196 3.233 -17.143
342.280 172.445 19.724 -21.355
108.981 -432.340 9.365 18.019
-812.884 125.059 13.285 12.294
-482.537 497.880 8.718 -21.130
652.944 834.021 23.152 23.988
-677.270 642.648 23.045 19.323
-390.737 85.290 15.116 -23.627
131.095 -266.033 -15.770 -13.166
906.412 -841.860 -9.520 0.385
-274.200 993.785 -6.597 -2.177
118.844 -732.472 -14.883 15.908
765.409 753.393 19.778 10.459
587.414 717.174 9.446 22.754
359.822 299.642 17.077 24.227
-615.068 287.723 -24.400 12.901
-978.310 -606.835 24.735 23.203
-448.695 -391.414 -1.413 6.928
-397.629 679.635 -20.249 18.030
947.164 -405.308 8.938 17.814
-651.915 148.624 3.273 23.387
-134.202 -491.215 21.141 -19.360
808.427 528.724 -20.132 -20.166
-183.553 -781.312 17.735 -4.047
-388.147 698.787 -5.844 4.079
-692.626 709.735 -13.993 -2.256
389.370 -369.716 -9.226 8.413
224.976 988.481 1.228 14.327
137.105 -819.968 12.714 -24.927
-311.183 354.203 -19.287 -12.569
-117.073 -576.775 -7.735 17.484
-358.088 -600.011 -11.562 6.344
-901.224 303.752 -14.577 -14.846
13.487 -142.814 7.897 -14.929
487.470 946.853 18.485 -7.189
935.334 -211.502 -17.862 1.811
-31.470 794.069 1.884 16.434
148.272 303.862 -21.135 -24.220
727.087 -154.807 18.264 -15.775
245.182 -731.914 15.569 8.599
571.837 -960.313 18.753 -10.367
-103.128 66.002 -0.295 -15.391
12.856 -272.427 2.420 -1.295
516.071 382.298 -24.484 -12.885
176.367 95.970 -21.451 -16.884
-600.167 -703.463 -16.104 -21.827
141.731 -913.589 -12.602 -15.327
-645.503 -881.317 18.272 23.158
-841.630 480.979 -12.209 1.381
-453.019 499.840 10.990 13.996
-772.588 -463.625 -12.299 18.587
918.672 -471.343 -19.298 2.376
624.627 -629.969 10.492 -24.389
-333.431 775.515 -21.216 20.207
861.926 -352.702 -20.120 -19.589
-234.019 926.083 -21.431 -1.891
407.062 -345.586 24.490 23.851
-845.746 419.178 12.847 -15.458
955.553 -978.092 -21.871 21.856
-449.435 -646.766 -0.768 -20.620
-276.735 -611.058 -20.009 9.746
-835.544 -648.969 4.953 -24.340
-1.671 393.346 -18.930 19.108
319.429 -614.440 -7.783 -6.838
39.974 -331.745 -7.987 4.856
-912.567 -805.585 14.397 -23.925
-783.676 701.044 22.930 -5.828
-945.723 -113.524 -1.448 -5.561
275.418 141.732 -20.816 10.997
492.763 365.510 11.656 -12.723
-241.144 709.060 -18.615 -23.043
-905.380 -55.935 -4.881 3.365
612.320 485.309 -16.779 17.494
679.724 904.717 18.568 22.401
605.760 659.952 -8.427 16.501
-453.572 605.017 -14.060 20.546
-253.251 -395.043 6.543 -19.012
970.467 -272.025 -6.735 -6.767
-562.965 -13.991 -4.810 -11.709
930.074 612.381 16.656 13.560
97.690 995.073 6.054 -5.565
899.790 -15.112 -8.163 12.639
-355.161 336.398 4.140 4.782
-58.585 603.168 0.328 17.204
-791.875 -725.169 23.192 -20.535
2.807 -341.717 -2.302 10.996
644.291 715.520 24.287 14.359
327.901 637.748 2.919 -14.360
632.822 -641.094 5.075 13.315
343.794 876.468 0.954 24.716
212.866 -796.250 4.497 -21.143
806.918 -806.988 21.061 -24.624
-532.157 770.124 -20.159 11.766
-571.593 101.548 -2.238 -23.183
-182.932 -118.010 16.177 -21.376
-480.261 -236.178 -10.736 -21.186
122.728 773.567 17.129 -13.337
650.035 -276.667 -13.621 -3.427
-72.917 635.055 0.430 -6.650
828.067 -140.370 -6.274 -17.602
-370.246 -57.321 19.164 1.454
-955.773 -322.947 3.271 -3.468
559.043 -222.079 0.157 -23.030
541.743 576.825 -19.216 -8.388
350.392 916.514 3.275 0.011
-360.153 586.148 21.583 14.173
221.203 -119.489 -17.477 1.232
740.141 49.976 8.630 -15.753
992.655 111.741 10.701 -24.078
788.794 -441.086 -2.546 8.696
336.835 904.441 10.665 -3.036
481.266 657.961 13.576 -4.209
574.475 -325.958 20.802 -19.642
-739.810 695.414 19.531 12.035
-424.075 -917.816 -11.733 -17.098
132.160 875.845 -7.851 3.120
-12.414 -885.984 4.042 -5.590
-327.070 -940.127 -21.895 -24.756
964.314 550.837 -2.791 11.139
208.798 -568.609 -18.069 -5.418
105.433 -890.675 -0.060 9.141
804.739 -221.154 -3.825 -15.483
-138.970 377.681 -7.582 24.830
253.525 382.691 2.950 -18.972
496.707 -720.299 0.437 -20.759
-660.427 141.710 -20.515 -17.403
-307.453 67.744 18.737 22.534
499.135 -973.295 -7.885 -9.886
-863.970 682.211 24.255 23.519
-538.943 -182.792 -16.964 8.052
-805.111 18.163 7.882 11.210
-599.146 -566.719 17.238 22.439
-287.018 -292.981 -23.320 1.314
848.729 -753.402 8.911 -11.468
314.342 105.908 -13.934 -4.663
132.613 127.237 10.451 6.716
-190.552 388.237 5.235 6.763
-794.555 530.845 -10.185 -14.992
-450.993 907.869 21.219 -1.253
-658.850 538.275 -3.814 1.353
-754.706 -85.381 -22.333 -22.649
161.217 463.129 -9.118 -13.111
-430.963 77.918 7.226 17.541
-794.845 -292.918 -0.743 0.365
-904.681 -820.294 -17.872 -17.481
710.551 -122.300 -7.473 -18.511
-214.431 -450.152 5.235 3.168
-911.877 -943.159 -20.479 -16.665
-28.541 -712.461 -14.314 -21.683
750.668 62.736 -9.794 -17.007
-859.346 897.271 -24.466 -16.355
-395.647 -8.350 9.010 -7.508
171.356 645.519 0.011 -2.952
-476.781 701.535 3.537 7.720
-748.617 -649.116 -14.112 -16.512
-592.276 -383.642 -8.177 9.480
-96.103 100.359 12.796 -8.636
-836.905 -879.906 -0.643 -17.406
-982.634 -4.375 -8.761 -9.457
987.275 -990.032 8.035 3.966
655.487 -678.173 -23.987 -20.532
-976.638 182.001 12.187 -18.131
532.885 923.000 -9.644 23.515
-460.641 287.171 7.995 11.081
-612.469 -168.349 -22.554 -11.234
-48.254 72.090 -3.641 -0.772
-932.285 503.931 14.771 -23.625
513.899 -87.778 5.340 4.235
234.049 254.156 8.702 6.435
-563.842 -164.414 13.304 24.226
-241.414 -853.593 22.741 7.449
433.578 229.444 -6.470 20.528
-938.905 -160.979 -15.707 0.321
911.111 226.109 24.549 24.471
-269.960 572.784 -24.155 -18.902
-514.995 247.435 10.333 17.976
-498.409 -238.582 -0.588 -1.556
597.005 -491.377 -2.330 -16.110
-344.970 -183.558 16.338 -22.785
-954.114 -605.264 22.743 -22.325
233.757 -718.548 2.996 3.622
507.561 101.775 3.092 -19.060
-325.442 157.508 -12.961 3.989
-595.057 894.866 -3.035 -2.337
-343.715 855.085 21.107 -18.668
-636.292 -248.927 -9.778 0.468
567.515 -737.584 2.684 15.335
-342.848 17.064 18.010 22.273
298.515 -159.796 0.894 -4.848
941.979 -840.529 1.092 -9.587
316.979 525.217 19.403 18.048
420.083 -345.281 -9.289 -23.091
-490.197 -527.262 -16.759 -3.162
223.811 -61.463 22.306 -5.217
200.953 -0.405 -14.882 21.453
-983.342 -874.890 18.725 7.879
-34.686 -215.207 -21.969 -2.318
-55.736 164.926 13.096 -18.469
-309.857 299.930 24.579 -22.244
954.648 -388.380 -20.335 -13.389
84.358 -483.749 8.449 -17.296
454.788 230.211 2.487 -8.606
-770.194 504.223 -12.154 -18.838
629.333 -737.138 14.041 -10.134
47.655 682.888 12.548 24.798
-152.186 25.768 -18.671 13.449
-674.302 -763.674 16.205 -17.991
-152.053 834.778 -6.380 23.308
-648.970 -917.241 -18.988 20.145
312.970 339.970 -13.461 13.569
-155.807 -24.594 19.731 -13.162
238.268 350.878 1.704 -17.852
33.765 -429.890 -18.054 22.039
595.878 -468.996 10.488 23.039
-232.670 67.721 -19.952 15.382
-97.501 -53.281 13.690 6.338
29.478 788.056 1.484 -16.439
128.026 520.905 22.131 24.305
-503.688 674.464 -13.856 18.365
25.342 513.916 -24.487 -23.522
-915.974 -701.654 23.517 16.998
-170.650 360.223 15.037 14.917
-572.057 803.402 5.299 8.261
-249.879 -240.462 -10.401 19.490
-452.405 643.317 -21.949 16.891
164.222 -992.729 16.196 16.513
681.736 -906.417 9.878 -7.323
607.499 415.617 -5.845 17.288
713.963 -293.130 9.286 -11.417
-932.907 -27.091 -21.500 -12.624
-223.689 351.949 20.637 13.161
-888.513 -590.551 7.651 -8.523
-947.235 428.078 -16.632 5.425
435.349 982.542 -3.062 2.927
-923.875 -727.365 20.604 17.091
688.252 -409.654 9.379 10.055
297.217 -253.422 23.638 9.108
719.488 -914.479 21.484 -12.605
437.470 684.824 -24.444 13.724
-905.727 328.262 -19.799 -21.324
-243.661 -457.259 9.101 -20.208
-474.718 -758.453 7.719 -9.965
-485.818 132.936 -17.874 -19.939
723.282 660.180 15.116 0.512
-593.242 550.178 -15.380 -21.844
635.699 -755.845 -9.449 1.829
928.979 -355.725 -9.447 -24.419
972.537 -169.836 -20.743 -6.778
372.905 534.317 -1.986 22.455
775.864 -770.661 -12.510 -17.749
362.275 -215.375 -12.688 2.139
-555.195 -902.870 -22.349 -3.711
647.309 -509.135 -0.555 7.075
-264.980 599.853 -16.096 -8.400
-755.872 -21.698 -7.819 -19.583
808.465 -142.458 -1.361 4.534
-608.141 866.107 1.989 -20.807
-904.554 579.151 -13.556 11.443
-636.224 -49.750 -11.418 -4.785
47.380 -350.665 16.504 -7.633
140.200 -362.049 24.442 21.880
-762.196 -666.127 -11.520 -12.952
312.175 226.470 -7.535 3.016
-915.988 644.139 -17.450 -13.103
510.246 381.567 -8.910 15.142
-39.282 101.364 1.585 8.112
-948.386 606.691 -21.673 2.475
-743.974 793.218 19.842 9.906
-568.831 771.380 6.786 -8.276
-894.747 810.665 3.773 10.436
37.134 849.503 -11.548 3.029
493.642 -159.923 14.925 0.097
-778.355 -759.389 -9.761 4.559
341.975 672.991 -12.329 9.840
279.682 -360.068 -12.685 13.393
-566.850 -713.735 -1.702 -3.392
-942.355 -796.620 13.332 -20.928
-985.956 -315.802 14.508 1.279
-466.299 -881.608 -20.692 -24.316
-41.530 769.341 0.781 4.503
-990.047 640.809 -15.938 8.798
313.800 -130.666 -6.362 -10.163
509.267 238.098 -21.770 23.560
524.364 61.124 -4.832 14.550
264.503 -659.972 18.623 6.964
24.227 325.231 -16.757 13.948
443.623 -497.950 14.632 -14.948
-728.608 -383.499 14.555 -17.966
-742.690 944.684 15.832 14.278
-185.981 -621.213 -20.885 -16.918
616.886 -706.218 -18.357 3.531
354.905 72.438 -6.919 -9.515
412.466 -531.836 22.449 -14.083
793.395 -772.318 24.866 5.925
-270.268 579.892 15.978 0.028
-803.607 221.319 7.062 -13.657
166.003 -84.260 -24.380 24.501
294.528 -810.594 -17.417 -2.215
-516.813 -430.990 -23.683 20.952
641.448 -224.079 -13.562 1.348
244.085 -644.543 12.265 0.937
-416.861 485.228 -18.138 7.822
65.121 913.611 -17.150 6.538
134.930 596.464 17.880 -17.477
-487.795 740.031 -17.976 20.168
929.437 -415.737 -7.046 -14.684
153.273 -229.191 -18.732 -5.132
546.729 -291.783 21.216 -5.230
63.673 339.242 20.707 16.170
-175.530 -897.207 -1.008 22.240
-983.596 273.678 3.778 3.783
-129.858 -133.678 11.307 9.559
-393.646 733.223 4.727 -11.605
-682.514 907.226 -1.290 11.769
-321.966 199.131 -18.363 -19.381
907.347 -885.886 0.389 -0.724
453.355 -156.128 -9.554 -18.054
-53.334 577.515 -20.815 -0.923
-148.807 318.520 -22.140 18.033
-815.158 566.672 2.592 -5.220
299.894 -707.238 8.175 15.435
-800.012 -724.599 2.203 -3.049
474.532 353.618 2.570 9.547
467.731 -881.636 -16.178 -1.973
-37.763 -29.268 4.973 22.723
-451.753 366.327 -3.201 9.986
-315.153 -13.623 3.019 -3.258
-446.952 -775.541 16.522 21.324
-482.778 -12.128 11.758 -7.070
263.273 -441.539 14.881 -6.555
912.079 -301.981 -22.008 9.495
-183.616 -527.417 -17.478 19.466
443.315 499.809 17.188 24.789
-133.864 -440.505 9.775 13.775
545.872 -488.220 -14.483 -22.527
-263.761 -918.442 23.797 6.337
69.431 422.186 24.267 -16.682
980.647 565.903 1.763 22.318
-736.077 190.192 6.813 2.008
662.776 573.434 -3.527 2.652
73.243 -453.551 2.441 23.484
105.945 -511.344 12.259 -8.705
0.436 911.035 -6.232 18.417
992.593 -297.400 -0.247 1.551
-875.214 -39.194 9.868 -22.364
-473.290 -534.763 24.954 -5.234
655.429 270.696 21.773 7.955
-155.869 -270.135 -14.393 22.934
276.314 521.948 21.419 -15.444
-989.396 347.115 0.852 0.276
258.150 784.813 -6.307 6.269
-512.587 737.850 -17.181 -9.695
-301.343 707.495 -7.059 5.634
-827.268 -284.208 -24.600 20.704
986.488 886.938 3.659 -4.235
-383.197 570.661 -6.300 22.328
92.609 -395.254 -18.116 2.580
951.861 309.451 -22.144 5.250
94.264 -138.031 -13.481 14.542
-400.181 -226.479 -20.153 7.462
-518.983 -88.491 -11.904 -8.656
627.301 -460.159 -12.952 15.345
-573.221 628.275 -13.890 1.090
198.935 192.401 -1.583 -17.711
797.146 212.074 9.869 18.725
-478.475 509.011 -1.025 15.395
-629.020 419.771 4.937 -0.730
-806.707 391.342 -18.268 -8.142
-697.149 -206.883 8.201 23.254
332.958 809.967 13.599 18.993
438.242 988.348 -4.917 -9.071
180.749 740.017 -1.782 -0.553
-47.909 -676.521 -6.827 11.840
832.490 685.920 2.235 -19.913
105.692 -713.130 4.357 7.475
678.213 443.543 24.332 24.527
-763.340 301.352 22.780 14.240
111.319 455.155 8.234 -11.261
443.504 -867.325 4.668 -9.394
872.692 -884.540 15.054 -4.380
-561.061 -670.949 -17.540 -18.214
-985.029 387.804 -13.127 3.017
674.674 649.169 -14.509 8.822
92.713 -607.059 8.349 8.234
694.292 245.165 -2.525 -4.860
-299.679 -771.653 8.879 -21.404
-638.978 -458.089 -5.798 -19.157
-342.629 -629.775 1.462 2.408
-300.724 356.897 9.194 -7.144
-255.299 842.640 20.873 -14.516
491.809 -745.444 19.307 -10.387
-352.503 106.211 22.847 -16.455
-648.623 -187.114 3.685 1.292
41.234 -497.427 4.888 10.056
44.484 963.598 15.899 17.546
-666.176 -305.531 -5.046 0.827
-948.634 -834.094 18.684 -5.098
-991.453 582.256 5.386 12.509
836.812 -12.297 -22.878 -12.892
-906.086 998.773 -4.348 -13.868
-188.341 973.498 12.425 21.322
-523.929 -307.491 6.379 13.014
-343.892 -108.880 5.560 -0.252
585.589 -979.423 -24.424 15.924
-813.516 770.378 -14.174 -20.124
352.633 648.463 17.385 4.736
-363.834 780.265 16.844 -6.748
779.038 -500.149 4.384 -10.233
-526.651 -327.641 -13.910 -1.264
364.868 698.741 -13.251 -24.476
-410.139 692.388 0.273 -20.614
712.965 33.938 20.310 22.486
-195.684 -754.573 -22.638 -21.076
893.890 789.866 8.660 -11.749
570.131 20.148 6.503 8.729
519.999 -564.492 23.497 24.834
107.867 -616.541 -1.431 -13.182
-917.801 412.746 -12.657 -8.199
105.133 504.619 -3.812 -4.548
-461.443 -340.085 -7.061 8.572
-94.658 -187.974 12.496 -5.019
-398.107 -153.784 8.232 -20.699
866.364 -410.575 13.030 9.659
24.933 461.061 9.493 -21.680
844.520 -677.518 -9.862 23.168
735.228 99.247 -10.031 -3.991
-396.134 446.289 16.461 3.561
-893.796 -623.993 -12.868 0.289
188.033 985.118 20.269 19.748
-168.666 140.065 24.049 -7.558
729.490 483.143 -22.898 -6.139
-55.796 463.774 -2.819 -5.282
786.256 492.758 -7.114 13.037
-407.994 314.221 -15.954 4.897
-239.490 -979.694 -16.543 -3.332
-603.688 -176.409 21.956 14.609
-191.291 689.036 9.357 16.001
-170.898 336.221 -16.556 -11.035
-180.635 -578.198 7.825 19.089
885.577 -799.763 -11.193 16.796
692.996 267.736 4.833 -17.875
-418.043 555.164 12.022 8.562
575.469 819.169 -19.770 24.295
-357.240 -912.560 13.903 11.287
776.476 -69.601 2.288 -9.861
-733.380 429.253 4.104 2.150
851.055 -522.816 -3.761 18.416
-322.578 401.847 10.212 -15.740
-330.418 -398.217 -8.615 6.288
-843.053 -863.707 -10.150 18.310
955.462 -196.813 17.605 -10.044
-109.373 260.326 -23.758 -8.322
-809.275 141.205 6.817 -13.566
-429.543 -563.150 13.583 -14.462
-85.966 -607.116 -21.046 14.786
794.730 566.611 24.047 -13.392
-831.606 -382.707 17.896 -16.866
-246.414 -690.141 -23.556 -7.274
113.046 761.956 7.682 -24.908
22.282 356.964 -8.231 5.325
-501.831 943.455 16.759 1.716
-619.695 213.682 12.253 7.358
606.566 648.284 -2.855 10.032
214.895 -152.330 21.640 9.582
464.963 581.461 17.716 -19.536
891.320 766.387 -1.810 0.109
528.343 -765.130 0.201 -11.234
591.834 678.813 19.091 -22.750
622.268 433.984 3.966 -24.936
-352.334 -351.232 7.423 -18.644
-702.948 -817.291 16.388 12.799
30.379 521.138 -2.619 -12.616
102.599 -396.135 -7.153 -0.152
-629.749 641.489 24.957 22.465
876.358 6.323 -13.770 11.705
-314.864 -787.150 13.955 -17.315
646.834 -283.176 -17.251 -17.637
365.591 606.891 -11.282 16.566
789.601 -795.738 4.365 -4.501
725.400 -930.175 7.883 -4.300
-326.311 -970.788 20.548 1.099
670.701 820.203 -1.437 13.676
-173.474 391.753 0.381 12.792
604.603 -426.554 20.477 6.286
290.270 -870.957 13.648 -8.603
735.935 -905.329 -17.037 13.138
-701.067 493.094 -16.362 -24.392
562.919 660.836 -3.692 -19.085
690.048 -325.751 7.014 9.019
-505.548 -776.917 -2.305 8.024
614.836 923.059 -4.184 5.486
-503.495 -348.296 -13.228 19.669
-219.252 -983.186 -13.934 -12.083
-888.514 -238.860 -23.945 -14.740
-745.766 -612.268 -14.131 20.429
-951.431 287.082 -23.656 18.465
961.332 334.309 2.484 -13.605
557.392 -992.828 19.419 4.306
930.231 -390.600 -15.208 -14.332
261.104 -137.456 -19.662 -23.954
-120.642 -343.853 -11.037 -0.229
417.287 -399.249 10.032 16.788
-11.516 836.013 12.217 0.926
123.096 542.433 -5.608 2.111
-123.257 875.034 13.505 -14.147
882.206 316.972 15.159 20.311
926.372 998.030 -19.021 4.687
-139.426 -547.316 5.733 18.498
108.831 787.861 -6.731 -11.847
-611.387 -867.962 -20.059 9.427
968.051 686.311 -14.646 2.279
228.744 189.818 -20.611 -22.363
64.852 715.785 -11.509 -1.324
32.756 -854.015 -6.013 -1.022
-855.985 -1.332 -21.335 0.115
451.353 375.931 -6.387 -10.995
163.792 475.297 2.158 13.810
607.335 283.939 -1.762 14.385
-29.751 343.650 -8.337 -20.025
-466.532 -157.894 -17.388 14.958
-442.109 -155.899 -11.366 14.766
-9.915 304.873 -11.256 3.353
-696.459 -303.622 -21.533 18.872
-927.690 -116.789 -17.123 5.903
-641.493 401.378 -5.287 24.146
-314.683 718.009 13.531 16.389
61.659 -792.240 21.364 14.878
49.866 -840.962 4.836 15.194
3.139 738.825 4.960 24.831
43.697 748.179 3.183 8.681
-555.443 266.014 2.553 -12.078
-850.775 417.209 18.824 -12.307
-181.412 -458.524 -13.161 12.598
-740.515 -985.198 3.987 8.029
-777.437 14.029 -2.093 6.811
173.068 -890.281 -2.995 -20.595
848.544 -921.411 -20.764 -2.694
826.768 296.757 -19.013 -18.217
-437.229 341.611 -5.295 -7.200
-241.179 -458.839 5.493 14.435
82.637 693.302 2.033 8.553
708.105 -759.217 -8.418 23.267
254.813 579.537 5.077 -14.303
689.256 -916.718 -9.898 13.445
-838.129 -226.480 -14.249 24.716
-929.724 -330.480 -18.501 -9.174
-988.868 48.156 8.626 -5.751
589.317 -435.230 -16.316 -8.201
-741.927 428.674 -24.648 24.154
669.457 -322.659 22.421 -1.893
-743.122 99.940 8.804 23.653
183.222 956.238 12.098 8.627
-270.242 913.976 8.343 -4.999
-416.504 593.696 10.827 -10.134
-358.148 -221.876 9.115 -19.221
342.894 711.942 -2.422 15.024
140.616 -82.803 14.179 -4.748
594.538 463.988 18.359 21.285
-436.072 86.493 19.939 18.679
42.732 281.486 2.306 19.312
195.461 -574.026 -10.687 19.474
-980.330 -994.395 -15.660 -8.462
-216.271 738.166 -2.683 -21.834
450.108 795.813 18.190 -10.232
-286.990 294.733 10.020 -17.311
-241.279 135.138 -21.026 8.066
-778.368 956.515 1.745 6.609
238.000 -837.961 0.921 -14.163
-411.987 609.377 -19.690 -9.808
614.982 -413.996 6.730 -15.032
-675.830 -838.105 -11.867 19.357
957.708 -747.076 -15.875 -8.232
547.657 765.797 -0.543 -17.341
-99.065 137.229 15.726 3.064
93.744 -301.176 -15.327 -16.706
-139.136 423.784 -5.870 11.222
33.161 -22.376 -23.586 -8.796
563.629 325.764 1.171 22.195
487.659 572.189 16.552 11.134
825.113 -972.923 -22.098 9.319
792.874 94.348 16.979 -7.655
-768.423 308.174 20.409 8.133
-993.002 -796.693 16.427 -3.303
627.090 -577.730 -17.082 -8.494
399.895 -626.702 7.710 -0.912
699.062 -644.751 -3.717 4.668
927.438 -486.601 -9.198 18.814
-459.524 -251.830 3.133 -16.666
842.519 -195.532 0.679 -23.148
-887.357 -156.464 9.985 -22.009
46.842 56.482 -0.312 -8.152
478.752 304.242 8.355 -3.034
677.540 -357.422 21.054 9.415
-2.172 -306.508 -10.917 -1.868
206.891 195.410 -8.055 18.684
943.580 803.137 -22.982 19.652
-392.395 107.877 21.505 -6.994
951.413 259.612 -4.003 -0.044
-683.906 827.392 16.805 19.871
131.635 6.372 -8.163 -4.771
648.950 -484.338 -20.356 -8.831
209.154 -250.900 14.301 -14.599
944.510 -750.140 -20.915 22.202
-947.003 -755.870 16.855 -8.485
352.007 534.386 9.521 7.585
-206.002 -779.261 -17.458 2.752
-951.868 973.863 -2.377 4.494
-19.765 578.431 24.724 -9.270
-905.907 -825.281 6.899 7.581
-76.181 -151.995 17.982 -3.292
97.865 882.704 -6.089 3.772
-873.166 -569.390 20.287 11.971
964.996 192.313 -5.443 -6.025
413.053 83.936 21.727 11.530
57.799 -225.976 -8.976 -24.049
-647.545 -370.108 -8.320 -13.836
-195.389 943.180 18.745 18.211
-208.815 469.087 -10.081 22.226
351.791 353.179 0.998 11.966
783.790 -148.626 -1.063 18.720
-956.313 739.725 -12.306 11.419
-176.339 -623.134 -2.052 22.036
150.890 558.876 22.987 12.584
-811.232 -413.289 23.747 -0.166
-470.109 699.688 -6.955 8.027
168.775 318.568 5.253 -11.986
-328.253 -749.964 24.980 -13.612
101.410 -43.345 -19.892 3.627
-303.620 -287.899 -9.954 13.001
88.967 519.762 10.038 -19.004
78.638 320.994 18.580 6.685
907.705 693.096 -18.480 -14.060
392.784 -17.406 18.967 -10.961
-698.839 -31.203 2.053 -0.677
218.834 81.315 10.711 -16.994
-962.031 632.767 11.634 -6.641
-655.132 -932.821 -18.640 10.846
586.942 655.891 16.842 -8.361
-23.115 416.895 23.325 -2.885
109.991 -806.228 8.055 -12.431
176.365 80.858 1.608 11.938
-950.345 -853.540 -13.739 6.712
227.774 878.880 14.718 6.644
511.646 54.074 -24.998 21.413
121.253 -745.517 7.259 -7.295
910.374 -35.958 9.344 -2.819
-619.063 306.761 19.296 12.273
500.533 94.034 24.843 -8.078
-825.108 58.039 -21.139 -19.386
204.499 -395.139 12.326 -14.193
-516.260 81.769 17.450 24.885
-864.157 698.109 21.298 6.427
952.592 142.251 24.132 21.574
-893.707 339.067 -6.244 -12.819
-354.172 -477.928 24.454 -21.341
616.106 971.863 -4.419 19.775
29.902 -22.315 -24.611 -19.140
582.545 508.581 -8.333 -23.343
-409.650 -635.310 -23.458 -6.845
-937.202 913.574 24.582 -24.615
55.824 948.581 21.959 4.053
287.647 -371.421 16.234 23.337
150.651 627.506 -23.004 -5.831
599.369 -96.904 -11.056 -9.268
880.780 -426.699 -3.408 11.583
-918.118 530.345 13.240 -8.194
895.035 591.284 9.961 23.946
504.858 381.714 24.331 -10.983
330.295 851.579 18.070 -9.551
-519.842 372.146 -11.215 15.770
-0.349 -368.747 -15.061 -10.024
534.349 -44.677 5.707 10.378
528.624 -908.037 -3.039 15.263
