1500 1500
892 840 15
940 122 14
740 457 19
789 964 20
844 102 15
-818 99 13
812 473 14
237 885 11
235 941 18
124 802 12
-520 751 11
-777 266 12
998 489 12
-432 995 12
-907 513 18
914 940 18
626 585 19
-991 904 13
769 263 19
668 671 20
-424 887 13
317 868 10
570 630 12
887 953 15
-874 471 17
-389 724 12
205 941 20
-881 854 12
834 834 19
735 498 18
-832 133 19
-537 943 16
889 838 14
-979 91 17
-219 942 10
-927 469 16
87 945 15
731 629 18
348 1000 13
51 920 11
715 836 12
748 864 11
-355 725 18
-878 703 13
992 958 16
-121 836 10
-890 688 14
-875 796 18
670 692 10
-812 728 16
-975 498 11
425 858 15
-435 941 18
853 434 12
-901 144 10
394 740 14
-652 571 17
-823 894 14
-892 339 10
263 839 14
-937 776 18
12 845 20
842 809 11
473 750 20
-348 948 20
-63 963 20
941 189 12
932 466 16
757 421 13
-430 708 11
-602 588 16
-944 748 14
997 607 14
-734 780 17
564 959 20
931 877 19
-62 859 15
915 857 17
-831 114 18
-646 818 14
752 419 10
-414 746 17
-188 914 12
881 230 10
162 864 12
995 173 14
-276 921 19
-229 987 18
338 748 14
327 735 18
541 794 14
575 756 18
-802 732 19
-932 47 15
474 748 10
596 747 14
969 182 11
-222 982 18
426 937 15
712 634 16
-797 491 14
220 821 17
597 571 10
-898 186 12
-735 498 16
371 953 16
955 405 15
-292 845 20
903 899 20
-781 410 13
-854 578 10
-487 946 16
-744 576 20
-875 327 18
-619 816 13
679 864 15
-889 214 11
-963 935 17
-201 949 20
821 776 12
102 879 15
402 753 19
-647 656 19
-959 513 13
717 557 15
946 167 10
208 935 12
-726 762 20
804 837 11
-131 983 17
668 628 11
-536 871 19
-710 439 15
845 514 13
614 530 16
873 650 18
-927 264 16
413 953 19
-865 898 14
-612 561 18
363 946 19
-638 787 14
-873 124 16
-593 767 10
-658 778 16
346 980 18
-599 959 12
-588 570 16
525 889 12
998 538 18
677 802 20
-978 551 15
175 821 15
-994 805 10
-508 729 18
378 751 18
-808 431 20
164 988 15
-609 985 20
-854 27 19
-948 32 16
-744 347 16
-508 806 13
1 888 20
909 734 18
-933 496 19
960 486 20
-919 125 14
505 830 11
781 926 11
-866 368 12
78 906 13
-871 792 17
-836 505 17
-809 51 10
521 854 19
942 542 17
769 783 13
-958 660 14
-884 474 20
911 143 12
203 980 12
409 884 12
977 639 16
-512 714 20
562 855 14
-267 956 17
-808 377 20
640 717 16
-215 788 14
802 492 13
374 942 11
898 350 20
291 1000 12
-241 914 14
952 123 20
340 946 16
-757 268 10
-761 940 16
-558 744 20
-760 394 15
-765 976 15
225 775 15
486 839 18
54 895 14
365 862 19
-437 986 13
620 600 11
900 908 10
-991 272 10
882 298 14
966 424 10
-692 956 10
742 857 15
840 25 18
659 804 11
785 724 10
622 563 11
754 603 13
-113 897 14
381 828 15
-141 904 16
799 344 16
760 531 18
-952 593 14
761 294 20
391 839 10
-20 845 13
701 690 12
-956 668 19
784 584 16
-818 634 14
695 403 15
787 764 12
-347 812 12
818 404 15
-875 271 19
-128 842 10
893 945 11
-474 833 12
-850 446 20
716 575 14
897 424 13
923 710 15
135 792 18
711 491 15
57 880 18
37 906 17
-204 907 16
792 508 20
-408 940 11
-821 5 14
-755 805 19
-878 884 13
775 578 13
-586 635 13
966 208 13
-589 740 20
715 552 11
-608 906 20
-817 41 16
-685 688 12
-744 689 18
805 74 19
-965 869 13
-620 535 20
-193 918 17
180 802 17
940 855 20
558 958 16
75 872 19
67 930 17
-257 985 14
473 854 13
-204 846 15
-706 590 19
-930 506 13
-649 803 19
-954 983 16
454 864 13
931 251 10
-998 853 19
-108 907 18
982 529 17
-586 955 11
-301 987 19
-915 980 19
973 459 12
-922 100 10
731 624 18
-99 918 15
-805 763 11
-450 917 17
143 957 16
523 867 13
815 111 13
-959 523 10
-772 461 14
884 905 14
-764 677 15
-840 248 11
839 468 12
935 543 19
794 587 16
-875 422 14
742 849 13
-472 875 12
-508 903 16
530 836 14
681 937 16
-255 863 17
-441 904 12
-991 37 11
489 790 14
958 519 15
-381 745 11
819 814 14
-476 715 19
730 950 13
-659 733 11
904 759 19
958 314 16
971 892 19
-124 840 18
-807 953 20
890 279 18
-660 601 20
588 734 13
-640 650 19
868 793 11
-383 751 16
893 811 14
946 348 16
-895 839 14
352 971 18
-881 129 11
804 700 12
864 235 17
929 437 16
-903 187 17
-473 655 13
-778 735 11
-934 388 14
-589 681 14
979 322 17
467 993 15
-938 657 10
-518 778 19
547 695 16
-592 597 20
-920 954 20
816 101 12
-407 891 16
-750 869 14
-866 630 14
-911 827 19
606 552 18
-883 303 15
783 413 11
-958 157 10
-221 914 19
-150 799 20
49 968 16
-977 796 20
-922 857 19
724 673 13
-254 850 14
-12 816 15
-897 861 16
-616 673 16
1000 186 10
-265 957 16
-852 399 17
890 43 10
-942 143 13
-33 942 17
32 953 10
536 989 19
-602 822 14
-964 336 10
607 604 14
875 841 15
-942 584 15
-887 604 20
-500 688 10
-567 755 16
961 458 17
-641 727 11
-683 679 14
-919 414 16
361 722 12
-800 575 17
-395 776 18
-379 997 20
762 272 15
826 749 16
-237 878 13
913 256 11
645 883 14
184 912 13
437 847 12
156 952 15
918 455 20
338 806 13
-659 477 15
871 663 19
-663 851 18
-836 164 11
925 936 19
803 140 10
22 826 20
833 347 20
-633 759 16
-280 775 15
-451 899 16
466 752 13
-39 802 14
719 890 16
899 246 20
895 590 20
818 788 20
-800 1 13
-46 944 18
-893 714 14
-886 902 18
-686 728 20
674 706 17
722 439 16
327 753 20
917 873 17
553 942 20
190 805 20
-844 598 11
483 885 10
988 520 15
-960 511 12
-917 216 12
-513 840 11
-709 825 17
-882 996 19
973 819 17
-322 794 16
-491 756 16
-707 916 19
528 965 15
812 652 16
334 787 13
-268 973 18
-977 88 10
235 899 17
741 933 19
-183 907 14
511 735 10
800 210 11
474 862 12
-808 91 10
995 548 11
856 766 10
479 861 12
-592 950 10
868 40 15
-931 973 14
862 261 19
-669 518 12
-744 603 10
744 642 10
865 548 14
913 103 12
440 905 17
-150 890 19
-129 997 19
-770 296 16
954 302 16
629 853 14
453 865 20
-619 923 15
-816 52 13
-759 928 14
381 793 19
916 856 11
441 708 10
809 323 19
730 734 10
433 918 12
-722 541 11
900 633 20
-695 601 12
-406 845 20
-195 974 12
-602 787 13
-39 825 18
-995 447 12
649 789 12
903 415 20
-995 900 13
-710 370 16
-977 906 18
632 725 19
8 961 15
547 907 12
-991 537 14
899 787 16
-511 698 12
-957 575 15
-494 874 15
745 428 15
80 850 16
730 903 19
-931 896 20
-587 673 10
102 879 12
-119 884 14
444 791 16
-693 537 10
-365 894 11
-705 478 15
-96 972 10
648 596 16
989 158 14
-199 992 20
-398 767 20
-851 437 18
708 638 16
-909 629 17
833 402 14
-177 887 18
635 635 20
637 955 18
-497 684 11
990 123 15
583 867 11
656 471 19
203 786 16
-303 964 13
-343 832 20
-969 692 18
-821 517 15
-283 853 15
295 849 17
827 660 17
247 892 13
386 747 13
664 807 17
855 181 19
862 271 18
-835 646 14
-630 731 13
-55 847 13
741 830 11
863 838 14
926 234 11
789 595 13
-686 977 20
-941 699 16
416 697 11
-135 858 12
517 788 16
866 936 13
484 913 20
842 761 18
270 977 15
-243 833 16
-901 199 14
-762 584 19
-962 32 12
-942 853 10
155 797 19
-35 818 11
816 738 16
976 711 19
429 845 16
887 129 19
776 774 12
529 849 12
-43 826 14
329 892 10
-953 57 13
921 576 16
-363 839 10
733 658 16
962 384 19
890 722 19
-739 506 15
-647 814 15
-930 51 19
582 1000 18
568 834 10
-926 769 20
621 955 18
-716 662 20
-724 430 20
689 551 14
824 260 10
-426 748 14
-938 931 12
-913 964 10
857 133 20
-850 266 13
914 415 14
-376 781 10
740 797 14
131 826 11
227 881 15
306 810 16
956 67 11
987 1000 17
79 959 16
47 845 10
-771 888 20
479 833 20
-618 891 12
-59 834 10
-887 821 19
-449 969 19
635 901 16
-962 560 10
768 867 14
-735 437 19
-886 430 15
-789 333 11
721 541 17
830 627 19
-530 845 10
-177 969 15
-601 654 18
-379 729 10
166 835 18
-877 17 14
747 763 11
188 861 11
-408 901 11
961 136 17
815 879 20
-918 533 15
-343 730 16
-457 870 15
-975 996 16
764 719 19
935 91 10
-689 987 20
-810 653 17
-905 423 18
-966 335 18
217 883 15
221 990 19
758 757 13
214 949 14
632 530 19
-922 257 10
-973 445 17
877 432 16
-761 594 14
845 247 20
101 799 17
117 988 11
909 736 17
943 614 16
669 877 15
983 455 16
876 446 19
-801 861 18
787 237 14
484 935 12
592 663 15
-249 773 13
-675 583 13
572 858 13
585 654 17
-812 208 19
-706 461 13
868 417 19
-478 697 20
-131 906 15
-957 69 14
880 301 16
-607 627 18
248 852 14
796 672 19
-999 319 15
96 909 20
583 941 15
-781 758 13
-182 838 20
-26 814 18
-887 653 17
-209 949 20
-887 906 13
906 308 14
173 857 15
892 719 15
-972 888 12
545 614 10
942 62 15
-34 808 19
-707 915 15
-507 849 19
974 535 10
983 503 13
-980 632 18
767 338 10
822 415 14
302 935 20
787 499 18
-296 885 12
22 948 18
483 644 12
-278 836 18
-989 215 16
-884 662 11
-797 700 11
570 582 11
870 640 12
-760 934 15
936 266 11
-452 964 18
-383 803 17
-944 58 12
-801 754 19
-580 768 13
-912 720 11
-299 940 14
586 608 14
729 729 17
-876 988 17
-593 954 12
368 826 16
46 980 16
809 472 18
-246 953 11
-250 876 12
928 774 10
-897 887 11
427 884 12
-965 236 15
-894 15 20
684 862 16
-977 893 18
876 312 15
645 979 10
824 192 13
868 712 13
-549 834 15
-813 207 10
779 680 19
914 194 17
-822 446 13
898 437 13
-149 996 20
-778 198 19
462 705 11
-547 632 15
-222 944 14
-972 149 11
-156 947 20
-869 917 12
-764 728 15
370 906 18
676 836 13
448 914 12
-631 666 11
654 552 15
818 207 13
-578 731 13
718 671 20
-530 615 10
-859 650 20
-785 997 16
-144 947 12
-604 615 16
-913 548 20
574 943 18
-896 713 12
269 759 10
993 274 12
-818 869 11
870 380 13
-697 907 17
-730 396 16
-227 785 15
-938 -1 16
64 834 16
819 196 10
-818 163 10
-798 492 13
-412 908 18
546 956 16
-43 846 10
125 927 17
-937 692 16
253 831 17
755 509 14
886 265 12
-866 821 10
808 27 15
118 830 18
-983 30 16
-925 939 20
403 979 19
-206 800 10
751 563 15
-400 777 20
-575 929 13
88 879 17
-967 959 16
812 425 20
762 856 13
-486 710 15
681 930 19
204 871 13
937 994 11
-385 944 10
-67 847 18
998 378 12
997 556 13
755 734 13
-500 994 16
129 901 10
-902 525 13
642 680 12
953 197 16
934 491 19
773 435 12
-323 867 20
647 726 10
-832 437 11
335 844 11
-258 899 19
916 621 16
-640 892 15
-684 988 19
949 873 10
-887 802 14
900 1000 10
-520 944 20
241 825 13
-826 668 16
-881 89 12
-867 113 18
838 545 11
321 907 12
242 884 20
-435 754 11
-844 808 15
-284 958 18
-815 475 12
613 671 17
542 625 18
690 707 17
-505 751 10
-468 763 10
-864 635 17
107 826 12
704 797 20
-279 927 19
767 610 19
-909 908 11
-14 913 20
951 303 13
507 960 15
-527 775 15
-77 897 13
-700 906 15
485 881 16
-661 474 15
687 575 12
-181 840 14
662 504 19
-773 656 14
-643 569 10
909 877 20
785 311 18
748 730 10
823 107 18
665 699 10
-770 370 14
-731 869 18
980 163 12
-250 872 14
-941 935 18
705 561 17
-324 908 19
-669 821 15
423 851 18
972 821 10
-824 442 15
-883 917 15
791 257 12
-892 491 11
751 813 20
624 534 15
812 984 20
772 471 20
629 577 13
801 287 13
-735 488 13
-695 559 16
-991 848 14
-689 743 19
-569 929 18
957 424 11
-807 631 20
477 976 18
548 657 11
363 776 14
-879 723 14
-969 135 12
-558 765 16
-717 586 13
347 832 10
965 208 19
-100 950 14
-882 714 10
-837 372 11
-640 723 10
951 716 18
-88 849 13
724 920 16
-922 295 13
-778 531 18
-820 467 18
450 773 15
535 863 15
-940 205 14
740 440 17
-353 824 18
-851 675 19
-646 829 11
-589 804 16
956 934 10
759 723 17
-210 919 13
654 975 13
-999 948 16
17 816 17
438 957 12
-773 1000 18
898 716 20
-440 753 18
-895 974 17
-909 756 18
743 629 14
-820 188 16
-720 534 17
-965 89 20
565 571 20
-569 696 14
-787 522 14
-788 633 14
-734 529 12
771 584 19
-957 708 19
851 300 14
773 775 16
571 723 18
-226 908 19
-937 492 20
-864 918 19
482 797 18
-34 1000 13
203 867 12
271 968 10
679 481 11
808 498 13
429 678 16
947 49 15
-955 865 12
736 564 13
-568 728 19
797 732 13
-236 775 18
610 749 16
-753 599 15
767 471 18
-399 973 19
954 47 11
760 564 10
195 990 18
323 736 17
-397 821 18
992 534 15
910 262 19
544 752 11
56 864 12
-111 795 12
21 908 15
-35 944 10
-126 899 10
-520 847 20
830 34 19
-786 815 11
822 841 14
-797 656 16
-816 757 19
-668 541 19
-703 531 12
900 166 11
814 979 18
538 927 12
775 208 13
-807 796 10
-696 558 14
747 314 16
465 791 15
-384 973 10
934 647 20
398 792 11
568 824 17
704 401 16
-389 812 20
-582 720 18
-864 790 13
-417 966 13
591 883 17
-733 463 12
203 817 13
-833 342 13
-894 586 15
104 805 12
783 252 18
362 761 18
-281 970 20
809 600 10
-683 496 15
-755 766 13
915 62 13
-945 379 16
-909 76 17
899 237 17
86 965 10
957 906 10
-473 740 19
-580 635 14
-850 686 19
999 212 20
724 519 10
-990 250 17
-814 344 17
-882 457 16
-501 839 13
712 548 13
762 594 12
758 427 13
158 930 12
-337 857 18
-131 919 15
884 418 20
-657 591 15
484 933 10
-212 866 14
-808 143 14
745 955 19
663 837 11
307 867 18
168 822 10
-715 776 15
-742 790 20
-661 531 20
-831 691 10
350 880 12
462 748 10
-986 387 11
-102 821 10
-629 820 19
-155 785 14
-99 950 13
-945 427 12
-449 853 12
-913 338 17
323 793 14
788 281 18
905 250 17
-692 774 18
651 494 12
-330 993 20
-85 860 14
-987 616 19
877 51 15
-553 723 15
-566 931 17
543 809 19
-886 943 10
965 460 16
994 934 14
-679 506 14
-48 840 10
748 793 13
-367 807 17
927 884 13
-513 940 15
545 962 10
824 431 11
-60 863 18
353 947 20
-957 207 19
-767 441 13
758 653 19
-969 703 14
-886 897 12
339 833 18
981 74 11
632 494 19
723 517 12
-205 896 18
406 932 17
883 271 12
-779 993 19
954 185 14
-781 446 10
885 766 13
-152 893 14
-611 897 12
518 616 10
-624 566 19
-742 314 10
20 895 20
779 966 18
-876 925 18
-959 150 10
-966 511 20
916 896 19
-553 802 15
-986 800 13
-969 864 16
986 272 17
733 608 12
-834 900 11
62 890 18
575 844 14
-530 765 13
-738 411 20
-581 627 13
791 635 13
757 325 19
718 746 12
639 981 20
-657 660 15
-26 859 17
-471 667 19
505 634 17
660 971 10
956 551 19
777 448 10
855 124 12
905 34 13
556 611 17
-893 289 17
-214 889 18
-861 934 14
-345 744 16
-606 748 13
883 782 17
595 657 10
-724 946 10
-505 875 13
-641 664 18
-841 393 10
918 565 18
669 478 17
564 576 10
-896 128 12
-985 328 20
719 574 18
-419 725 12
944 985 11
319 764 16
173 984 10
-745 865 11
-284 817 12
-967 219 10
-161 947 19
860 832 12
916 710 13
808 537 14
-672 499 14
399 996 19
664 842 14
957 577 10
929 66 15
-890 891 14
683 547 15
-386 777 11
568 717 14
845 510 19
-829 52 19
-545 988 18
993 320 16
943 873 16
448 948 14
655 539 19
434 882 15
871 74 13
-356 842 11
596 697 13
-868 335 16
794 174 18
979 154 18
-790 556 13
-197 910 18
800 820 10
-979 703 20
-546 838 10
901 33 16
531 618 12
-769 906 15
911 163 12
532 719 17
495 904 11
-771 501 18
652 793 15
102 955 17
-816 348 12
-747 797 17
-886 505 10
-795 390 15
723 348 13
935 631 20
-831 551 16
-626 655 10
780 558 10
707 781 11
683 619 14
744 510 20
998 649 19
-831 420 12
-743 925 13
563 972 18
614 532 14
824 126 13
-845 385 10
962 465 11
-26 917 15
773 569 20
116 862 10
879 969 14
